Queen Battle,Tim,Schmidt,Sanatçı
Kaze Yurei Taiyo,David,Davis,Gizemli kahin
Light Fire Dragon Queen,William,Williams,Asker kahraman
Güneş Yol,William,Williams,Doktor
Prem Zindagi Dil,William,Williams,Zengin iş insanı
Luz Sombras Reina,Alejandro,López,Bilim insanı
Zhan Hua Tian,Yu-Jin,Yoon,Kahramanın arkadaşı
Taiyo Ken Shizukesa Tabibito,Inès,Durand,Bilim insanı
Taiyo Unmei,Tae-Hyun,Park,Yabancı ajan
König Geist Kampf,Tae-Hyun,Park,Gazeteci
Haneul Sarangi Baram,Tae-Hyun,Park,Gizemli kahin
Ombre Secret Nuit,Susan,Miller,Kahramanın arkadaşı
Sang Nuit,Susan,Miller,Gazeteci
Blood Battle Dream,Louise,Bernard,Polis dedektif
Fire Blood Shadow King,Louise,Bernard,Aşk ilgisi
Hua Long,Louise,Bernard,Aşk ilgisi
Queen Light,Louise,Bernard,Sanatçı
Âme Cœur,Barbara,Miller,Bilim insanı
Yurei Kaze Unmei Ken,Camille,Robert,Suçlu lider
Zindagi Khwaab,Ming,Zhou,Kahramanın arkadaşı
Secret Night Legacy Battle,Ming,Zhou,Asker kahraman
Prem Dil Sapna Aag,Louise,Martin,Doktor
Taiyo Unmei Tabibito Senshi,Louise,Martin,İsyancı lider
Hana Taiyo Senshi,Louise,Martin,İsyancı lider
Zhan Tian,Isabel,García,Asker kahraman
River King Fire Path,Isabel,García,İsyancı lider
Pyar Khwaab Zindagi,Michael,Jones,Yabancı ajan
Hana Tabibito,Robert,Garcia,Bilim insanı
Sapna Pyar Jeevan,Robert,Garcia,Gizemli kahin
Ghost Soul Shadow,William,Evans,Gizemli kahin
Secret Ombre Feu Rêve,William,Evans,Yabancı ajan
Battle Secret Dragon Fire,William,Evans,Doktor
Nuit Sang Rêve Voix,Hyun,Kang,Zengin iş insanı
Noche Susurro Dragón Reino,Woo,Kim,Katil şüphelisi
Hearts Chueok,Lei,Yang,Kurtarıcı
Soul Dream,Lei,Yang,Terapist
Aag Zindagi Sapna,Finn,Schmidt,Kahramanın arkadaşı
River King Fire Path,Peng,Chen,Dedektif yardımcısı
Ken Taiyo Unmei Hoshi,Peng,Chen,İsyancı lider
Tsuki Shizukesa,Carlos,Sánchez,Kurtarıcı
Reino Luz,Charlotte,Jones,Kurtarıcı
Yoru Ken Senshi Hoshi,Alessandro,Rossi,İsyancı lider
Nuit Voix Ombre Étoile,Alessandro,Rossi,Doktor
Luz Legado Susurro Dragón,Alessandro,Rossi,Gizemli kahin
Shan Xin Zhan Ling,Priya,Das,Yargıç
Light Dragon,Priya,Das,Yargıç
Traum Blut,Max,Schneider,Kurtarıcı
Yol Aşk,Max,Schneider,Yabancı ajan
Battaglia Regina Eredità,Jessica,Johnson,Gizemli kahin
Dream Blood Night,Pooja,Singh,Gizemli kahin
Prem Sapna,Lena,Weber,Aşk ilgisi
Soul Path,Louis,Robert,Katil şüphelisi
Yol Umutsuz Rüya Kral,Louis,Robert,Prens/prenses
Kampf Weg,Mei,Fujimoto,Asker kahraman
Safar Raat,Deniz,Şahin,Dedektif yardımcısı
Traum Blut,Hana,Yoon,Suçlu lider
Ombre Sang Voix Âme,Haruto,Kobayashi,Başrol oyuncusu
Blood Battle,Stefano,Ferrari,Polis dedektif
Shadow Whisper Night,Stefano,Ferrari,Gazeteci
Legado Reina Sombra Fuego,Barbara,Johnson,Sanatçı
Baram Sarangi,Barbara,Johnson,İsyancı lider
Hana Tsuki,Joon,Lee,Bilim insanı
Jeevan Aag Rang Dosti,Ana,Flores,Doktor
Feng Ri Yue Shan,Takumi,Mori,Yargıç
Susurro Sombra,Elisa,Russo,Prens/prenses
Battaglia Sussurro,Ren,Ito,Gazeteci
Lumière Liberté,Giovanni,Rossi,Suçlu lider
Unmei Yoru,Ryota,Saito,Doktor
Sang Voix Ombre,Gabriel,Bernard,Başrol oyuncusu
Dragón Reino,Gabriel,Bernard,Aşk ilgisi
Long Shan Hua,Gabriel,Bernard,Aşk ilgisi
Dream Blood Night,Alice,Martin,Suçlu lider
Eredità Luce,Alice,Martin,Yabancı ajan
Sessizlik Rüya,Marco,Marino,Zengin iş insanı
Bitnaneun Sarangi Chueok Haneul,Francesco,Rossi,Sanatçı
Luz Sombras Reina,Martina,Rossi,Zengin iş insanı
Sombra Secreto Legado Tormenta,Léna,Moreau,Dedektif yardımcısı
Hana Taiyo Senshi,Yui,Kobayashi,İsyancı lider
Storm Battle Night,Arjun,Gupta,Zengin iş insanı
Tsuki Shizukesa Ken Tabibito,Arjun,Gupta,Aşk ilgisi
Umutsuz Yol Hayat,Michael,Wilson,Polis dedektif
Tormenta Noche Fuego,Feng,Liu,Aşk ilgisi
Uri Baram Bitnaneun Bam,Jian,Chen,Sanatçı
Notte Regno Regina Eredità,Jian,Chen,Prens/prenses
Licht Nacht Kampf Seele,Zeynep,Öztürk,Yabancı ajan
Geist Kampf Traum,Zeynep,Öztürk,Sanatçı
Traum König Fluss,Woo,Kang,Kurtarıcı
Tsuki Yurei Tabibito Hana,Woo,Kang,Dedektif yardımcısı
Fluss Feuer Schatten Traum,Verónica,Sánchez,Dedektif yardımcısı
Shizukesa Yurei Unmei Tsuki,Hina,Yamamoto,Polis dedektif
Yol Aşk Güneş,Fen,Liu,Kurtarıcı
Yurei Tsuki Hoshi Tabibito,Fen,Liu,Sanatçı
Dosti Khwaab Prem,Lucy,Johnson,Başrol oyuncusu
Shadow Whisper,Juan,Garcia,Kahramanın arkadaşı
Prem Dil Sapna Aag,Marta,Sanchez,Yabancı ajan
Ye Qing,Marta,Sanchez,Kahramanın arkadaşı
Hoshi Tsuki Taiyo Tabibito,Joon,Yoon,Suçlu lider
Gölge Yol,Jesús,Martínez,İsyancı lider
Tempesta Segreto Drago Regno,Lan,Zhou,Yabancı ajan
Shadow Night Fire,Isabel,Fernandez,Prens/prenses
Queen Battle,Fernando,Hernández,Zengin iş insanı
Jeevan Pyar Rang Sapna,Fernando,Hernández,Başrol oyuncusu
Voix Liberté Nuit Sang,Fernando,Hernández,Kurtarıcı
Étoile Âme,Sarah,Miller,Yargıç
Gece Kader,Takumi,Shimizu,Polis dedektif
Tormenta Noche Fuego,Takumi,Shimizu,Prens/prenses
Fuego Susurro Reino,Lea,Meyer,İsyancı lider
Soul Light Dream,Zeynep,Kaya,Sanatçı
Reino Noche Batalla,Federica,Ricci,İsyancı lider
Shadow Night Fire,Marie,Meyer,Gazeteci
Hana Ken,Elena,Perez,Aşk ilgisi
Rang Sapna Khwaab,Elena,Perez,Sanatçı
Storm Queen,Min-Seo,Choi,Sanatçı
Hana Taiyo Shizukesa,Ana,Garcia,Polis dedektif
Feng Tian Ling,Ana,Garcia,Zengin iş insanı
Dragón Fuego Batalla,Felix,Schulz,Yargıç
Battle King,Kavita,Sharma,Yargıç
Blood Battle Dream,Bo-Ra,Yoon,Aşk ilgisi
Étoile Âme,Bo-Ra,Yoon,Bilim insanı
Gece Kader,Pooja,Patel,Bilim insanı
Kader Umutsuz Güneş,Pooja,Patel,Doktor
Night Dream,Jennifer,Garcia,Kurtarıcı
Yol Aşk,Jennifer,Garcia,Yargıç
Long Yue,Jennifer,Garcia,Zengin iş insanı
Tabibito Ken,Lan,Zhou,Katil şüphelisi
Feng Qing,Olivia,Roberts,Aşk ilgisi
Fuoco Tempesta Notte,Antonio,Martinez,Kahramanın arkadaşı
Night Light,Antonio,Martinez,Dedektif yardımcısı
Pyar Khwaab Jeevan Dosti,Martina,Marino,Doktor
Sarang Sarangi Saebyeok,Martina,Marino,Bilim insanı
Fire Queen Storm,Aya,Ito,Gizemli kahin
Batalla Secreto Reino,Aya,Ito,Yabancı ajan
Fuego Batalla Sombras,Aya,Ito,Başrol oyuncusu
Shizukesa Tabibito Kaze Yurei,Lucy,Smith,Kurtarıcı
Gece Aşk Gölge,Lucy,Smith,Başrol oyuncusu
Reina Sombras Tormenta Secreto,Lucy,Smith,İsyancı lider
Nacht Schatten Weg Blut,Hao,Wu,Yargıç
Ombre Sang Voix Âme,Hao,Wu,Bilim insanı
Dragón Susurro Batalla,Hao,Wu,Aşk ilgisi
Battle Blood Fire Soul,Lan,Wu,Asker kahraman
Reino Noche Reina Luz,Pooja,Joshi,Aşk ilgisi
Reino Secreto Dragón,Chloé,Leroy,Yargıç
Güneş Gece Aşk,Tim,Meyer,Bilim insanı
Tempesta Battaglia Ombra,Haruto,Fujimoto,Aşk ilgisi
Aag Dosti,Haruto,Fujimoto,Yargıç
Path Night Fire,Jonas,Weber,Kahramanın arkadaşı
Susurro Noche Sombras,Jonas,Weber,Dedektif yardımcısı
Aag Zindagi Sapna,Min-Seo,Kang,Asker kahraman
Jeevan Rang Dil Sapna,Qiang,Zhang,Dedektif yardımcısı
Hoshi Yurei Kaze Senshi,Qiang,Zhang,Kurtarıcı
Night King Dream,Stefano,Ricci,Polis dedektif
Rang Khwaab,Stefano,Ricci,Sanatçı
Cœur Lumière Voix Âme,Min-Jun,Im,Gazeteci
Luce Tempesta,Lina,Schmidt,Polis dedektif
Güneş Kader Kral Aşk,Lina,Schmidt,Başrol oyuncusu
Ghost River Fire Light,Giovanni,Colombo,İsyancı lider
Aşk Sessizlik Yol Rüya,Amelia,Johnson,Dedektif yardımcısı
Noche Reina,Pooja,Mehta,Zengin iş insanı
Reina Sombras Tormenta Secreto,Pooja,Mehta,Katil şüphelisi
Unmei Hana Kaze,Pooja,Mehta,Kurtarıcı
Prem Zindagi Dil,Pooja,Mehta,Aşk ilgisi
Dragon Light Battle Queen,Ji-Hoon,Park,Kurtarıcı
Kampf Fluss,Amit,Choudhary,Başrol oyuncusu
Susurro Noche Sombras,Sophie,Johnson,Bilim insanı
Light Ghost,Amelie,Schulz,Bilim insanı
Rüya Düş Umutsuz,Alice,Richard,Sanatçı
Light Night Shadow Whisper,Alice,Richard,Polis dedektif
Ken Unmei Senshi,Alice,Richard,Doktor
Dil Safar Khwaab Zindagi,Isabel,González,Prens/prenses
Noche Luz Sombra Reino,Federica,Rossi,Gazeteci
Dream Fire River,John,Rodriguez,Katil şüphelisi
Tormenta Fuego,John,Rodriguez,Doktor
Shadow Light,Min-Jun,Lee,Sanatçı
Secreto Reina Batalla Dragón,Min-Jun,Lee,Yargıç
Nuit Feu Cœur,Min-Jun,Lee,Asker kahraman
Battaglia Sussurro,Chloé,Richard,Sanatçı
Feuer Weg Traum,Giulia,Greco,Yabancı ajan
Fire Queen Storm,Giulia,Greco,Aşk ilgisi
Rang Khwaab,Giulia,Greco,Bilim insanı
Gölge Yol,Giulia,Greco,Kahramanın arkadaşı
Luz Legado Susurro Dragón,Giulia,Greco,Zengin iş insanı
Batalla Legado Tormenta,Amelie,Schmidt,Başrol oyuncusu
Saebyeok Bitnaneun Chueok Uri,Arthur,Wilson,Kurtarıcı
Regina Eredità Fuoco Notte,Arthur,Evans,Bilim insanı
Gece Aşk Gölge,Yu-Jin,Park,Doktor
Eredità Luce,Ethan,Robert,Başrol oyuncusu
Traum König Fluss,Léo,Durand,Sanatçı
Hua Zhan Feng Xin,Hao,Yang,Dedektif yardımcısı
Luz Secreto Reina,Hao,Yang,Bilim insanı
Rang Khwaab,Hao,Yang,Kurtarıcı
Susurro Sombra,Mehmet,Çelik,Prens/prenses
Sessizlik Gece,Mehmet,Çelik,Bilim insanı
Secreto Susurro Tormenta,Camille,Thomas,Zengin iş insanı
Licht König,Alessia,Marino,Gizemli kahin
Senshi Yurei Hana,Alessia,Marino,Başrol oyuncusu
Taiyo Ken Shizukesa Tabibito,Fernando,García,Kahramanın arkadaşı
Ombra Sussurro Segreto Luce,Jan,Becker,Prens/prenses
Gidae Bam,Jan,Becker,Gazeteci
Kingdom Storm,Jan,Becker,Gazeteci
Sessizlik Rüya,Leon,Schmidt,Aşk ilgisi
Chueok Baram Sarangi,Verónica,García,Kurtarıcı
Storm Queen Night Fire,Verónica,García,Terapist
Storm Queen Night Fire,Ece,Yılmaz,Zengin iş insanı
Tabibito Unmei Taiyo,Antonio,Rossi,Gizemli kahin
Lumière Ombre Cœur Âme,Amelia,Evans,Dedektif yardımcısı
Dragón Fuego Noche,Amelia,Evans,Katil şüphelisi
Batalla Luz Reino Reina,Emma,Robert,Kurtarıcı
Feuer Weg Traum,Lina,Wagner,Gazeteci
Qing Shan,Mehmet,Arslan,Suçlu lider
Soul Night River Path,Aslı,Arslan,Zengin iş insanı
Aag Pyar,Aslı,Arslan,Zengin iş insanı
Ghost Night,Ana,Fernandez,Aşk ilgisi
Tian Yue Hua,Ana,Fernandez,Terapist
Batalla Legado,Ana,Fernandez,Gazeteci
Dragón Reina,Joon,Kim,Polis dedektif
Secret Ombre Âme Lumière,Seo-Yeon,Lee,Terapist
Storm Secret,Seo-Yeon,Lee,Doktor
Taiyo Tabibito Ken Hoshi,Ana,Flores,Polis dedektif
Battle Secret,Ahmet,Kaya,Prens/prenses
Tormenta Secreto Fuego,Jian,Zhou,Yabancı ajan
Yue Ye Xin,Nathan,Richard,Başrol oyuncusu
Nuit Voix Cœur,Charles,Thomas,Polis dedektif
Bimil Sarangi Bitnaneun,Mert,Aydın,Gizemli kahin
Haneul Bam Bitnaneun,George,Thomas,Dedektif yardımcısı
Hana Taiyo Shizukesa,Tae-Hyun,Yoon,İsyancı lider
Ling Hua,Fen,Huang,Terapist
Âme Ombre Liberté Feu,Haruka,Shimizu,Asker kahraman
Hua Long,Haruka,Shimizu,Kurtarıcı
Rêve Nuit Étoile Secret,Haruka,Shimizu,Dedektif yardımcısı
Secret Lumière Étoile,Ahmet,Çelik,Başrol oyuncusu
Fuego Susurro Reino,Inès,Martin,Sanatçı
Rêve Nuit Étoile Secret,Antonio,Rodriguez,Bilim insanı
Unmei Yurei,Verónica,Pérez,Zengin iş insanı
Light Shadow Fire River,Verónica,Pérez,Suçlu lider
Geist Kampf Traum,Verónica,Pérez,Polis dedektif
Shadow Whisper Dragon Night,Alice,Robert,Başrol oyuncusu
Rüya Düş Umutsuz,Carlos,Rodriguez,Terapist
Fuego Reina Tormenta,Hyun,Kang,Polis dedektif
Tsuki Hoshi Senshi Hana,Hyun,Kang,Katil şüphelisi
Chueok Sarang,Mia,Wagner,Kahramanın arkadaşı
Legado Susurro Dragón Noche,Rahul,Kumar,Gizemli kahin
Susurro Dragón,Henry,Taylor,Polis dedektif
Sang Lumière Rêve Nuit,Paul,Robert,Polis dedektif
Zindagi Khwaab Safar Pyar,Laura,Garcia,İsyancı lider
Zhan Tian,Bo-Ra,Yoon,Polis dedektif
Traum Seele,Bo-Ra,Yoon,Yabancı ajan
Rang Khwaab,Jennifer,Garcia,Sanatçı
Secret Ombre Âme Lumière,Aylin,Koç,Asker kahraman
Fluss Seele Traum Geist,Aylin,Koç,Asker kahraman
Ken Yoru,Jun,Zhou,Suçlu lider
Tian Yue Hua,Carmen,Moreno,Asker kahraman
Taiyo Tabibito Ken Hoshi,Min-Seo,Park,İsyancı lider
Sarang Sarangi Saebyeok,Ethan,Moreau,Asker kahraman
Seele Traum,Davide,Greco,Doktor
Sapna Pyar Jeevan,Derya,Çelik,Sanatçı
Bitnaneun Bimil,Jessica,Jones,Başrol oyuncusu
Drago Sussurro,Chiara,Russo,Suçlu lider
Geist Schatten Weg,Chiara,Russo,Bilim insanı
Rang Jeevan Raat Safar,Chiara,Russo,Doktor
Tsuki Hoshi Senshi Hana,Emre,Çelik,Polis dedektif
Shizukesa Yurei Unmei Tsuki,Nathan,Richard,Kurtarıcı
Traum Seele,Nathan,Richard,İsyancı lider
Soul Night River Path,Paul,Fischer,Sanatçı
Shadow Whisper,Dong-Hyun,Kim,İsyancı lider
Nuit Voix Ombre Étoile,Miyu,Takahashi,Kahramanın arkadaşı
Reino Fuego Dragón,Sofia,Garcia,Yabancı ajan
Licht Nacht Kampf Seele,Sofia,Garcia,Yargıç
Fuego Reina Tormenta,Emily,Jones,Kahramanın arkadaşı
Luce Tempesta,Léna,Durand,Gazeteci
Liberté Étoile Cœur Rêve,Léna,Durand,Polis dedektif
Storm Queen,Elena,Martinez,İsyancı lider
Unmei Yoru Ken Yurei,Jae,Lee,Polis dedektif
Licht Seele Kampf,Jae,Lee,Prens/prenses
Ken Unmei Senshi,Jae,Lee,Terapist
Battle King,Min-Jun,Jung,Başrol oyuncusu
Luz Noche,Min-Jun,Jung,Terapist
Reino Noche Batalla,Min-Jun,Jung,Asker kahraman
Shan Xin Zhan Ling,Thomas,Evans,İsyancı lider
Güneş Yol,Thomas,Evans,Asker kahraman
Drago Regina Battaglia,David,Thomas,Başrol oyuncusu
Gidae Haneul Sarang,Lan,Yang,Kahramanın arkadaşı
Long Yue,Alice,Petit,Doktor
Güneş Sessizlik Kader Rüya,Ryota,Shimizu,Terapist
Umutsuz Yol Kral Gölge,Ryota,Shimizu,Gazeteci
Cœur Lumière Voix Âme,Alice,Martin,Gizemli kahin
Ombre Sang,Sofia,Garcia,Yabancı ajan
Güneş Sessizlik Kader Rüya,Arthur,Thomas,Gazeteci
Secreto Susurro Tormenta,Arthur,Thomas,Gizemli kahin
Âme Cœur,Hyun,Im,Katil şüphelisi
Feuer Seele,Miyu,Kato,Polis dedektif
Luz Secreto Reina,Manon,Richard,Aşk ilgisi
Nuit Sang Rêve Voix,Manon,Richard,Başrol oyuncusu
Weg Feuer,Deniz,Yılmaz,Kahramanın arkadaşı
Tempesta Battaglia Ombra,Juan,Cruz,Polis dedektif
Eredità Notte Sussurro,Juan,Cruz,Kahramanın arkadaşı
Blood River Light Dream,Lei,Liu,Aşk ilgisi
Ghost Night,Anna,Wagner,Polis dedektif
Yurei Kaze Unmei Ken,Anna,Wagner,Kahramanın arkadaşı
Gölge Gece Sessizlik,Antonio,Russo,Polis dedektif
Secret Cœur Feu,Peng,Chen,Yabancı ajan
Kader Güneş,Jessica,Rodriguez,Sanatçı
Kral Düş Sessizlik,Juan,Sanchez,Başrol oyuncusu
Legado Susurro Dragón Noche,James,Jones,Başrol oyuncusu
Rüya Umutsuz,James,Jones,Yabancı ajan
Batalla Legado,Woo,Park,Polis dedektif
Unmei Hana Kaze,Isabel,Cruz,Asker kahraman
Geist Weg Feuer Traum,María,López,İsyancı lider
Bitnaneun Sarangi Chueok Haneul,Haruka,Ito,Doktor
Light Battle,Federica,Marino,Yabancı ajan
Luz Noche Fuego,Yu-Jin,Park,Asker kahraman
König Geist Kampf,Jessica,Garcia,Gazeteci
Hayat Güneş Gölge Kral,Priya,Singh,Yabancı ajan
Lumière Étoile,Priya,Singh,Kahramanın arkadaşı
Susurro Dragón,Priya,Singh,Sanatçı
Hana Tsuki,Sarah,Thomas,Sanatçı
Nacht Schatten Weg Blut,Elena,Gomez,Asker kahraman
Feng Ri Yue Shan,Elena,Gomez,Gizemli kahin
Sang Rêve Secret Étoile,Lucy,Roberts,Zengin iş insanı
Jeevan Aag Rang Dosti,Chloé,Richard,Zengin iş insanı
Pyar Dosti Safar Khwaab,Eun-Ji,Shin,Dedektif yardımcısı
Hua Shan Feng Yue,Eun-Ji,Shin,Kahramanın arkadaşı
Gidae Baram Saebyeok Sarangi,Eun-Ji,Shin,Bilim insanı
Feng Ri,Sophie,Wilson,Yargıç
Hana Ken,Elias,Schulz,Terapist
Reina Fuego Legado Luz,Elias,Schulz,Terapist
Ling Hua,Laura,Gomez,Katil şüphelisi
Jeevan Rang Raat Dosti,Luis,Lopez,Gizemli kahin
Bimil Bam Baram,Maya,Choudhary,Gazeteci
Secret Kingdom Fire Whisper,Jae,Jung,Gizemli kahin
Hoshi Tabibito,Jade,Petit,Yabancı ajan
Storm Shadow Legacy,Jade,Petit,Gizemli kahin
Taiyo Unmei Tabibito Senshi,Jade,Petit,Gazeteci
Chueok Bam Sarang,Lucy,Wilson,Yabancı ajan
Chueok Sarang,Lucy,Wilson,Katil şüphelisi
Sarang Bimil,Ella,Johnson,Prens/prenses
Ombre Secret Nuit,Valentina,Russo,Gizemli kahin
Long Shan Hua,Valentina,Russo,Katil şüphelisi
Legado Reino Dragón Luz,Valentina,Russo,Aşk ilgisi
Aşk Sessizlik Yol Rüya,Isabel,López,İsyancı lider
Rüya Gece,Aya,Shimizu,Asker kahraman
Chueok Saebyeok,Jennifer,Rodriguez,Zengin iş insanı
Lumière Liberté,Jennifer,Rodriguez,Başrol oyuncusu
König Geist,Can,Çelik,Kurtarıcı
Dream Fire,Onur,Arslan,Başrol oyuncusu
Bitnaneun Baram Chueok Sarangi,Onur,Arslan,Kahramanın arkadaşı
Light Battle,Sophie,Williams,Prens/prenses
Jeevan Rang Dil Sapna,Sophie,Williams,Yargıç
Tabibito Kaze Shizukesa Taiyo,Elisa,Greco,Bilim insanı
Light Night,Andrea,Ferrari,Gazeteci
Prem Pyar Aag Jeevan,Tim,Schneider,Yabancı ajan
Kingdom Storm,Sarah,Jones,Katil şüphelisi
Yol Kral Aşk,Bo-Ra,Im,Prens/prenses
Ghost River Fire Light,Rina,Shimizu,Başrol oyuncusu
Bimil Sarangi Bitnaneun,Karan,Gupta,Doktor
Kader Umutsuz Güneş,Karan,Gupta,Bilim insanı
Storm Battle Night,Mehmet,Arslan,Kurtarıcı
Dragon Whisper Queen Light,Dong-Hyun,Yoon,Gazeteci
Segreto Fuoco,Alejandro,Ramírez,Gizemli kahin
Tormenta Noche Luz,Ece,Çelik,Başrol oyuncusu
Night Dream,Ece,Çelik,Suçlu lider
Lumière Secret,Lea,Becker,Dedektif yardımcısı
Tian Hua Yue,Lea,Becker,Bilim insanı
Dragon Light Battle Queen,Paul,Durand,Suçlu lider
Feuer Seele,Anjali,Choudhary,Terapist
Fire Battle,Anjali,Choudhary,Suçlu lider
Ombra Sussurro Segreto Luce,Ren,Kobayashi,Yabancı ajan
Yurei Tsuki Hoshi Tabibito,Ren,Kobayashi,Terapist
Aag Dosti,Yuki,Saito,Katil şüphelisi
Xin Yue Long,Guadalupe,Hernández,Yargıç
Tian Shan,George,Jones,Polis dedektif
Hana Tabibito,Nazlı,Arslan,Kurtarıcı
Soul Path,Nazlı,Arslan,Terapist
Ombre Nuit Secret Étoile,Nazlı,Arslan,Aşk ilgisi
Blood Fire Ghost Shadow,Nazlı,Arslan,Prens/prenses
Yol Aşk Güneş,Barbara,Davis,Yabancı ajan
Prem Sapna Dil Raat,Barbara,Davis,Polis dedektif
Xin Yue Long,Hugo,Richard,Katil şüphelisi
Fuego Batalla Sombras,Marie,Schulz,Asker kahraman
Secret Ombre Feu Rêve,Deniz,Kaya,Polis dedektif
Aag Khwaab,Alejandro,Martínez,Sanatçı
Ye Qing,Alejandro,Martínez,Başrol oyuncusu
Feng Tian Ling,Alejandro,Martínez,Zengin iş insanı
Rüya Umutsuz Güneş Aşk,Emre,Yılmaz,Doktor
Regina Eredità Fuoco Notte,Karan,Gupta,Katil şüphelisi
Sang Lumière Rêve Nuit,Karan,Gupta,Gizemli kahin
Feng Ri,Inès,Simon,Zengin iş insanı
Reina Tormenta Sombras Fuego,Inès,Simon,Katil şüphelisi
Kral Düş Sessizlik,Marco,Rossi,Bilim insanı
Saebyeok Uri,Marco,Rossi,Yargıç
Jeevan Rang Raat Dosti,John,Wilson,Dedektif yardımcısı
Zhan Hua Tian,Mia,Wagner,İsyancı lider
Bimil Baram Saebyeok Chueok,Max,Becker,Polis dedektif
Dragón Reina,Emma,Müller,Kahramanın arkadaşı
Secret Cœur Feu,Ana,Fernandez,Terapist
Night Light,Ana,Fernandez,Bilim insanı
Raat Rang Sapna Khwaab,Lina,Müller,Terapist
Âme Ombre Liberté Feu,Onur,Taş,Asker kahraman
Pyar Khwaab Jeevan Dosti,Chiara,Marino,Kahramanın arkadaşı
Shizukesa Tabibito Kaze Yurei,Jessica,Wilson,İsyancı lider
Storm Shadow Legacy,Karan,Kumar,Dedektif yardımcısı
Yoru Ken Senshi Hoshi,Jessica,Roberts,Prens/prenses
Zindagi Khwaab,Lei,Chen,Yabancı ajan
Weg Licht,Lei,Chen,Asker kahraman
Weg Feuer,Luis,Diaz,Dedektif yardımcısı
Taiyo Ken Kaze,Olivia,Roberts,Doktor
Pyar Dosti Safar Khwaab,Olivia,Roberts,Aşk ilgisi
Tormenta Noche Luz,Leon,Schneider,Bilim insanı
Qing Shan,Leon,Schneider,Başrol oyuncusu
Zindagi Raat Pyar Safar,Christopher,Wilson,Suçlu lider
Batalla Legado Tormenta,Christopher,Wilson,Sanatçı
Luz Fuego,Valentina,Greco,Polis dedektif
Âme Sang Liberté Étoile,Valentina,Greco,Terapist
Legado Reino Batalla Sombras,Valentina,Greco,Suçlu lider
Hoshi Tsuki Taiyo Tabibito,Barbara,Rodriguez,Terapist
Ombre Nuit Secret Étoile,Barbara,Rodriguez,Gizemli kahin
Blood Fire Ghost Shadow,Barbara,Rodriguez,Yargıç
Bimil Bam Baram,Barbara,Rodriguez,Yabancı ajan
Regina Segreto Ombra,Haruto,Saito,Polis dedektif
Sarang Bimil,Charlotte,Johnson,Suçlu lider
Kaze Tsuki Taiyo Unmei,Ming,Li,Yargıç
Light Dragon,Ming,Li,Polis dedektif
Fluss Seele Traum Geist,Ming,Li,Gizemli kahin
Geist Weg Feuer Traum,Ming,Li,İsyancı lider
Feng Qing,Ming,Li,Prens/prenses
Hearts Chueok,Zeynep,Taş,Zengin iş insanı
Sang Voix Ombre,Amelia,Thomas,Polis dedektif
Saebyeok Uri,Amelia,Thomas,Yargıç
Batalla Luz,Patricia,Garcia,Gazeteci
Raat Rang Sapna Khwaab,Paul,Robert,Zengin iş insanı
Tabibito Kaze Shizukesa Taiyo,Okan,Aydın,Gazeteci
Prem Pyar Aag Jeevan,Okan,Aydın,Zengin iş insanı
Shadow Night Dragon Kingdom,Carlos,Pérez,Yabancı ajan
Light Soul Night,Carlos,Pérez,Kurtarıcı
Shadow Battle,Hye-Jin,Park,Aşk ilgisi
Fuoco Sussurro Notte Tempesta,Ming,Wu,Terapist
Shan Long,Henry,Evans,Yabancı ajan
Raat Prem Jeevan Safar,Henry,Evans,Terapist
Tabibito Unmei Taiyo,Ella,Taylor,Suçlu lider
Kampf Feuer König Geist,Ella,Taylor,Yargıç
Uri Baram Bitnaneun Bam,Joon,Shin,Suçlu lider
Ye Yue,Joon,Shin,Terapist
Blut Schatten Kampf,Joon,Shin,İsyancı lider
Hua Zhan Feng Xin,Patricia,Garcia,Yargıç
Haneul Sarangi Uri,Mia,Evans,Sanatçı
Liberté Étoile Cœur Rêve,Rahul,Joshi,Başrol oyuncusu
Unmei Yurei,Marco,Greco,İsyancı lider
Taiyo Hoshi,Rahul,Joshi,Katil şüphelisi
Hayat Güneş Gölge Kral,Luis,Rodriguez,Bilim insanı
Bitnaneun Baram Chueok Sarangi,Luis,Rodriguez,Doktor
Gidae Bam,Léna,Simon,Prens/prenses
